phone,axes,first_with,with_without,first_without
n,Slow - Quick,++0.02063,2.697e-16,++0.3296
n,Small - Big,3.45e-13,7.235e-05,3.447e-10
n,Smooth - Rough_or_not_smooth,9.426e-05,5.768e-34,++0.4574
n,Ugly - Beautiful,++0.001481,9.506e-10,++0.1115
ʒ,Angular - Round,++1.0,++0.005591,++1.0
ʒ,Bad - Good,++1.0,++0.1015,++1.0
ʒ,Cold - Hot,++1.0,++0.05395,++1.0
ʒ,Complex - Simple,++1.0,0.0001661,++1.0
ʒ,Cowardly - Brave,++1.0,7.34e-06,++1.0
ʒ,Dangerous - Secure,++1.0,++0.0996,++1.0
ʒ,Dark - Luminous,++1.0,++0.1505,++1.0
ʒ,Difficult - Easy,++1.0,++0.2127,++1.0
ʒ,Evil - Benign,++1.0,++0.3678,++1.0
ʒ,Faded - Bright,++1.0,0.0006559,++1.0
ʒ,Feeble - Strong,++1.0,++0.01948,++1.0
ʒ,Masculine - Feminine,++1.0,++0.4351,++1.0
ʒ,Passive - Active,++1.0,++0.0992,++1.0
ʒ,Quiet - Loud,++1.0,++0.002378,++1.0
ʒ,Rough - Tender,++1.0,6.17e-06,++1.0
ʒ,Sad - Joyful,++1.0,1.226e-05,++1.0
ʒ,Short - Long,++1.0,++0.2418,++1.0
ʒ,Slow - Quick,++1.0,++0.4009,++1.0
ʒ,Small - Big,++1.0,++0.4025,++1.0
ʒ,Smooth - Rough_or_not_smooth,++1.0,1.992e-12,++1.0
ʒ,Ugly - Beautiful,++1.0,5.429e-09,++1.0
ŋ,Angular - Round,++1.0,7.955e-05,++1.0
ŋ,Bad - Good,++1.0,0.0002242,++1.0
ŋ,Cold - Hot,++1.0,3.591e-168,++1.0
ŋ,Complex - Simple,++1.0,2.232e-05,++1.0
ŋ,Cowardly - Brave,++1.0,2.112e-47,++1.0
ŋ,Dangerous - Secure,++1.0,1.664e-57,++1.0
ŋ,Dark - Luminous,++1.0,++0.3177,++1.0
ŋ,Difficult - Easy,++1.0,1.219e-104,++1.0
ŋ,Evil - Benign,++1.0,9.073e-33,++1.0
ŋ,Faded - Bright,++1.0,2.713e-54,++1.0
ŋ,Feeble - Strong,++1.0,5.917e-24,++1.0
ŋ,Masculine - Feminine,++1.0,++0.03142,++1.0
ŋ,Passive - Active,++1.0,0.0,++1.0
ŋ,Quiet - Loud,++1.0,8.017e-98,++1.0
ŋ,Rough - Tender,++1.0,6.023e-06,++1.0
ŋ,Sad - Joyful,++1.0,2.001e-08,++1.0
ŋ,Short - Long,++1.0,2.469e-11,++1.0
ŋ,Slow - Quick,++1.0,4.567e-22,++1.0
ŋ,Small - Big,++1.0,1.5e-21,++1.0
ŋ,Smooth - Rough_or_not_smooth,++1.0,4.178e-16,++1.0
ŋ,Ugly - Beautiful,++1.0,5.087e-07,++1.0
h,Angular - Round,++0.08923,++0.003205,++0.01455
h,Bad - Good,++0.07247,++0.01895,++0.1607
h,Cold - Hot,++0.03407,++0.01341,++0.4105
h,Complex - Simple,++0.2474,++0.2369,++0.001277
h,Cowardly - Brave,++0.2321,++0.2996,++0.2798
h,Dangerous - Secure,++0.4174,++0.008078,4.222e-06
h,Dark - Luminous,++0.2392,++0.00322,2.232e-05
h,Difficult - Easy,++0.378,++0.01847,6.743e-07
h,Evil - Benign,++0.2098,++0.00455,0.0004228
h,Faded - Bright,++0.002626,++0.001927,++0.3499
h,Feeble - Strong,++0.009442,++0.003044,++0.4511
h,Masculine - Feminine,++0.001771,++0.2277,7.923e-15
h,Passive - Active,++0.3533,++0.05426,++0.008614
h,Quiet - Loud,++0.2826,++0.03644,++0.01696
h,Rough - Tender,++0.1827,++0.3259,++0.1139
h,Sad - Joyful,++0.2613,++0.3075,++0.3468
h,Short - Long,0.0003214,++0.001688,++0.03455
h,Slow - Quick,++0.1344,++0.4412,++0.001694
h,Small - Big,++0.0256,++0.2977,0.0003793
h,Smooth - Rough_or_not_smooth,++0.001784,0.0006566,++0.4289
h,Ugly - Beautiful,++0.002175,++0.0416,++0.00414
l,Angular - Round,0.0005301,8.853e-34,++0.1268
l,Bad - Good,++0.2142,++0.0687,++0.07333
l,Cold - Hot,++0.002089,1.241e-11,++0.3513
l,Complex - Simple,++0.05744,1.937e-11,++0.1795
l,Cowardly - Brave,++0.008738,0.0003533,++0.1171
l,Dangerous - Secure,9.084e-06,4.27e-16,++0.09167
l,Dark - Luminous,++0.001992,++0.2075,0.0003849
l,Difficult - Easy,++0.0412,++0.4575,++0.03833
l,Evil - Benign,0.0001572,++0.001272,++0.005399
l,Faded - Bright,1.242e-05,5.448e-18,++0.09503
l,Feeble - Strong,++0.009964,++0.1627,++0.01778
l,Masculine - Feminine,++0.005515,4.557e-16,++0.3624
l,Passive - Active,++0.1005,7.008e-05,++0.4431
l,Quiet - Loud,++0.0278,++0.1108,++0.006815
l,Rough - Tender,++0.4038,1.485e-19,0.0007922
l,Sad - Joyful,++0.04038,++0.2523,++0.05681
l,Short - Long,++0.4541,++0.006364,++0.133
